Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
14,128,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,79 999,86 999
14,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14,128,6.1,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,79 999,86 999
14,128,6.1,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14,128,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14,128,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,79 999,86 999
14,128,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14,128,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,79 999,86 999
14,128,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,79 999,86 999
14,128,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,79 999,86 999
14 Plus,128,6.7,белый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,83 499,90 799
14 Plus,128,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,83 499,90 799
